IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.92.26,2096,2096,true,SIN,Asia Pacific,Singapore,110,9.57
47.236.144.208,2087,2087,true,SIN,Asia Pacific,Singapore,112,9.54
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,92,9.51
8.219.124.227,2086,2086,false,SIN,Asia Pacific,Singapore,87,9.49
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,81,9.45
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,85,9.45
8.219.198.139,8443,8443,true,SIN,Asia Pacific,Singapore,95,9.41
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,92,9.38
47.236.237.90,2087,2087,true,SIN,Asia Pacific,Singapore,136,9.36
47.236.170.54,8080,8080,false,SIN,Asia Pacific,Singapore,111,9.30
8.219.191.110,2086,2086,false,SIN,Asia Pacific,Singapore,85,9.28
8.219.191.40,2095,2095,false,SIN,Asia Pacific,Singapore,86,9.28
47.236.9.152,2096,2096,true,SIN,Asia Pacific,Singapore,84,9.25
47.236.237.90,2082,2082,false,SIN,Asia Pacific,Singapore,109,9.24
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,134,9.15
47.236.10.100,2082,2082,false,SIN,Asia Pacific,Singapore,92,9.02
47.236.10.182,8080,8080,false,SIN,Asia Pacific,Singapore,86,8.93
8.219.67.133,2095,2095,false,SIN,Asia Pacific,Singapore,113,8.84
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,108,8.81
8.222.144.50,8080,8080,false,SIN,Asia Pacific,Singapore,107,8.74
8.219.6.150,8443,8443,true,SIN,Asia Pacific,Singapore,107,8.73
47.236.102.102,2096,2096,true,SIN,Asia Pacific,Singapore,85,8.59
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,85,8.52
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,77,8.43
8.219.83.201,80,80,false,SIN,Asia Pacific,Singapore,134,8.42
8.219.67.133,80,80,false,SIN,Asia Pacific,Singapore,112,8.36
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,79,8.25
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,83,8.24
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,137,8.19
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,110,8.13
8.219.83.201,2082,2082,false,SIN,Asia Pacific,Singapore,92,8.11
47.237.83.20,2082,2082,false,SIN,Asia Pacific,Singapore,85,8.10
47.236.170.225,2086,2086,false,SIN,Asia Pacific,Singapore,119,8.08
47.237.94.140,8443,8443,true,SIN,Asia Pacific,Singapore,110,8.07
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,111,8.01
47.236.87.246,80,80,false,SIN,Asia Pacific,Singapore,111,7.97
8.219.107.135,2053,2053,true,SIN,Asia Pacific,Singapore,88,7.91
47.236.104.11,2095,2095,false,SIN,Asia Pacific,Singapore,113,7.88
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,112,7.86
47.236.170.54,8880,8880,false,SIN,Asia Pacific,Singapore,112,7.84
47.236.202.91,2096,2096,true,SIN,Asia Pacific,Singapore,110,7.82
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,108,7.61
47.237.95.140,2087,2087,true,SIN,Asia Pacific,Singapore,140,7.59
8.219.87.30,80,80,false,SIN,Asia Pacific,Singapore,136,7.56
8.219.4.122,2082,2082,false,SIN,Asia Pacific,Singapore,107,7.55
47.236.97.90,2087,2087,true,SIN,Asia Pacific,Singapore,134,7.53
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,136,7.48
8.219.78.188,2052,2052,false,SIN,Asia Pacific,Singapore,86,7.45
47.236.158.158,8080,8080,false,SIN,Asia Pacific,Singapore,115,7.44
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,110,7.43
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,94,7.37
47.236.93.176,2087,2087,true,SIN,Asia Pacific,Singapore,112,7.32
47.236.145.85,2052,2052,false,SIN,Asia Pacific,Singapore,81,7.31
47.237.95.140,2082,2082,false,SIN,Asia Pacific,Singapore,111,7.29
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,83,7.27
47.236.172.71,80,80,false,SIN,Asia Pacific,Singapore,106,7.20
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,94,7.17
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,109,7.14
8.219.210.57,8880,8880,false,SIN,Asia Pacific,Singapore,86,7.12
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,82,7.11
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,110,6.97
47.237.86.185,8080,8080,false,SIN,Asia Pacific,Singapore,109,6.94
47.236.123.133,2082,2082,false,SIN,Asia Pacific,Singapore,136,6.88
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,76,6.81
47.236.171.205,2086,2086,false,SIN,Asia Pacific,Singapore,86,6.77
8.219.198.139,80,80,false,SIN,Asia Pacific,Singapore,115,6.76
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,103,6.75
47.236.144.196,8080,8080,false,SIN,Asia Pacific,Singapore,86,6.74
8.219.77.222,2087,2087,true,SIN,Asia Pacific,Singapore,112,6.69
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,87,6.49
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,113,6.47
47.236.80.110,2086,2086,false,SIN,Asia Pacific,Singapore,87,6.44
47.236.144.208,2052,2052,false,SIN,Asia Pacific,Singapore,93,6.40
8.219.210.57,2095,2095,false,SIN,Asia Pacific,Singapore,112,6.40
47.236.80.110,8443,8443,true,SIN,Asia Pacific,Singapore,94,6.39
47.236.174.206,8880,8880,false,SIN,Asia Pacific,Singapore,113,6.26
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,81,6.21
47.236.146.249,80,80,false,SIN,Asia Pacific,Singapore,86,6.15
47.236.145.85,443,443,true,SIN,Asia Pacific,Singapore,86,6.15
8.219.77.222,8443,8443,true,SIN,Asia Pacific,Singapore,92,6.14
47.236.165.25,2082,2082,false,SIN,Asia Pacific,Singapore,109,6.09
47.236.144.196,2052,2052,false,SIN,Asia Pacific,Singapore,111,5.90
8.219.210.57,2082,2082,false,SIN,Asia Pacific,Singapore,92,5.88
47.236.144.208,8080,8080,false,SIN,Asia Pacific,Singapore,82,5.74
47.236.172.95,8880,8880,false,SIN,Asia Pacific,Singapore,88,5.66
47.236.237.90,2095,2095,false,SIN,Asia Pacific,Singapore,115,5.65
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,137,5.60
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,96,5.59
8.219.124.227,2095,2095,false,SIN,Asia Pacific,Singapore,87,5.46
47.236.254.120,2087,2087,true,SIN,Asia Pacific,Singapore,110,5.45
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,134,5.39
47.236.123.133,8080,8080,false,SIN,Asia Pacific,Singapore,134,5.36
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,95,5.29
8.219.191.40,8880,8880,false,SIN,Asia Pacific,Singapore,141,5.29
47.236.146.249,2086,2086,false,SIN,Asia Pacific,Singapore,110,5.25
8.219.83.201,2086,2086,false,SIN,Asia Pacific,Singapore,103,5.16
47.237.95.13,2052,2052,false,SIN,Asia Pacific,Singapore,83,5.08
8.222.164.209,2053,2053,true,SIN,Asia Pacific,Singapore,93,5.05
47.236.144.156,2095,2095,false,SIN,Asia Pacific,Singapore,83,4.98
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,112,4.97
47.236.170.225,80,80,false,SIN,Asia Pacific,Singapore,112,4.90
47.236.253.41,2087,2087,true,SIN,Asia Pacific,Singapore,114,4.82
8.222.164.209,80,80,false,SIN,Asia Pacific,Singapore,108,4.66
47.236.237.90,8880,8880,false,SIN,Asia Pacific,Singapore,92,4.53
47.237.0.31,2087,2087,true,SIN,Asia Pacific,Singapore,92,4.51
47.237.10.1,8880,8880,false,SIN,Asia Pacific,Singapore,82,4.50
8.219.177.205,2083,2083,true,SIN,Asia Pacific,Singapore,114,4.49
8.219.210.57,2096,2096,true,SIN,Asia Pacific,Singapore,137,4.43
47.237.95.156,8080,8080,false,SIN,Asia Pacific,Singapore,92,4.35
47.236.144.196,2083,2083,true,SIN,Asia Pacific,Singapore,82,4.32
47.236.87.246,8443,8443,true,SIN,Asia Pacific,Singapore,86,4.15
47.236.102.102,2082,2082,false,SIN,Asia Pacific,Singapore,109,4.06
47.236.150.13,8080,8080,false,SIN,Asia Pacific,Singapore,90,3.96
47.236.145.85,8880,8880,false,SIN,Asia Pacific,Singapore,80,3.92
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,110,3.86
47.236.144.196,2095,2095,false,SIN,Asia Pacific,Singapore,112,3.84
8.222.164.209,2082,2082,false,SIN,Asia Pacific,Singapore,79,3.80
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,96,3.73
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,86,3.70
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,114,3.66
47.236.144.208,2095,2095,false,SIN,Asia Pacific,Singapore,85,3.57
8.219.191.40,2096,2096,true,SIN,Asia Pacific,Singapore,101,3.56
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,135,3.38
8.219.122.55,2096,2096,true,SIN,Asia Pacific,Singapore,141,3.32
8.219.191.110,2083,2083,true,SIN,Asia Pacific,Singapore,89,3.10
8.219.67.133,2082,2082,false,SIN,Asia Pacific,Singapore,109,3.02
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,113,2.99
47.236.144.156,8080,8080,false,SIN,Asia Pacific,Singapore,100,2.95
8.219.107.135,8080,8080,false,SIN,Asia Pacific,Singapore,86,2.93
47.236.202.91,8443,8443,true,SIN,Asia Pacific,Singapore,93,2.77
47.236.9.152,8443,8443,true,SIN,Asia Pacific,Singapore,89,2.73
47.236.93.176,8880,8880,false,SIN,Asia Pacific,Singapore,96,2.72
47.236.9.152,80,80,false,SIN,Asia Pacific,Singapore,117,2.67
47.237.83.20,80,80,false,SIN,Asia Pacific,Singapore,136,2.52
47.236.169.141,2086,2086,false,SIN,Asia Pacific,Singapore,111,2.49
